height,width,time,type,scrollX,scrollY
810,1535,740.435,mousemove,0,0
810,1535,814.435,mousemove,0,0
810,1535,1162.435,mousemove,0,0
810,1535,1187.435,mousemove,0,0
810,1535,1199.435,mousemove,0,0
810,1535,1212.435,mousemove,0,0
810,1535,1224.435,mousemove,0,0
810,1535,1236.435,mousemove,0,0
810,1535,1249.435,mousemove,0,0
810,1535,1261.435,mousemove,0,0
810,1535,1274.435,mouseout,0,0
810,1535,1274.435,mouseover,0,0
810,1535,1274.435,mousemove,0,0
810,1535,1286.435,mousemove,0,0
810,1535,1298.435,mousemove,0,0
810,1535,1311.435,mousemove,0,0
810,1535,1323.435,mousemove,0,0
810,1535,1336.435,mouseout,0,0
810,1535,1336.435,mouseover,0,0
810,1535,1336.435,mousemove,0,0
810,1535,1348.435,mousemove,0,0
810,1535,1361.435,mousemove,0,0
810,1535,1374.435,mousemove,0,0
810,1535,1386.435,mousemove,0,0
810,1535,1398.435,mousemove,0,0
810,1535,1410.435,mousemove,0,0
810,1535,1572.435,mousemove,0,0
810,1535,1584.435,mousemove,0,0
810,1535,1597.435,mousemove,0,0
810,1535,1609.435,mousemove,0,0
810,1535,1622.435,mousemove,0,0
810,1535,1634.435,mousemove,0,0
810,1535,1647.435,mousemove,0,0
810,1535,1659.435,mousemove,0,0
810,1535,1672.435,mousemove,0,0
810,1535,1684.435,mousemove,0,0
810,1535,1697.435,mousemove,0,0
810,1535,1709.435,mousemove,0,0
810,1535,1722.435,mousemove,0,0
810,1535,1734.435,mousemove,0,0
810,1535,1747.435,mousemove,0,0
810,1535,1759.435,mousemove,0,0
810,1535,1772.435,mousemove,0,0
810,1535,1784.435,mousemove,0,0
810,1535,1796.435,mousemove,0,0
810,1535,1809.435,mousemove,0,0
810,1535,1821.435,mousemove,0,0
810,1535,1834.435,mousemove,0,0
810,1535,1846.435,mousemove,0,0
810,1535,1858.435,mousemove,0,0
810,1535,1870.435,mousemove,0,0
810,1535,1883.435,mousemove,0,0
810,1535,1895.435,mousemove,0,0
810,1535,1908.435,mousemove,0,0
810,1535,1920.435,mousemove,0,0
810,1535,1945.435,mousemove,0,0
810,1535,1957.435,mousemove,0,0
810,1535,2007.435,mousemove,0,0
810,1535,2019.435,mousemove,0,0
810,1535,2032.435,mousedown,0,0
810,1535,2034.45,scroll,0,23
810,1535,2045.79,scroll,0,70
810,1535,2058.155,scroll,0,134
810,1535,2070.8,scroll,0,268
810,1535,2095.545,scroll,0,350
810,1535,2110.075,scroll,0,455
810,1535,2120.745,scroll,0,670
810,1535,2145.73,scroll,0,793
810,1535,2157.83,scroll,0,933
810,1535,2171.92,scroll,0,1190
810,1535,2195.19,scroll,0,1336
810,1535,2207.38,scroll,0,1487
810,1535,2220.93,scroll,0,1773
810,1535,2244.575,scroll,0,1931
810,1535,2256.85,scroll,0,2082
810,1535,2270.88,scroll,0,2368
810,1535,2294.235,scroll,0,2526
810,1535,2307.205,scroll,0,2695
810,1535,2321.14,scroll,0,3016
810,1535,2343.885,scroll,0,3179
810,1535,2356.155,scroll,0,3325
810,1535,2371.6,scroll,0,3564
810,1535,2395.195,scroll,0,3658
810,1535,2406.26,scroll,0,3740
810,1535,3015.945,scroll,0,3704
810,1535,3028.065,scroll,0,3500
810,1535,3040.31,scroll,0,2963
810,1535,3065.31,scroll,0,2631
810,1535,3077.675,scroll,0,2310
810,1535,3091.235,scroll,0,1709
810,1535,3114.95,scroll,0,1470
810,1535,3127.6,scroll,0,1254
